"","X","ID","Task.Name","Trial.Number","dilemmaAll","Context","Dilemma","PBH_actual","PDE_actual","BA_actual","MC_actual","Intent_actual","MG_actual","Agent","RT","MJ","keys","Gender","Gender.quant","Age","Nationality","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_variants","variants_string","oldDilemma","Dilemma_base","PBH","PDE","Intent","BA","MC","MG"
"1",1,14606101,"Main Stimuli F_YES (Latin Square) ",1,"SubstitutedConsent","trolley","Substituted_Consent_Trolley","Yes","No","yes","yes","no","No","AI",32.1000000238419,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","SubstitutedConsent","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"2",2,14606101,"Main Stimuli F_YES (Latin Square) ",2,"man-in-front","crane","Man_in_Front_Crane","Yes","Yes","yes","yes","yes","Yes","Human",3541.80000001192,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","man-in-frontCrane","Man_in_Front","Yes","No","No","No","No","Yes"
"3",3,14606101,"Main Stimuli F_YES (Latin Square) ",3,"Unprohibted_BetterAlternative_DisproportionateCost_","crane","Unprohibited_Better_Alternative_Disproportionate_Cost_Crane","No","No","no","no","yes","Yes","AI",1086.7,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibted_BetterAlternative_DisproportionateCost_Crane","Unprohibited_Better_Alternative_Disproportionate_Cost","No","Yes","No","Yes","Yes","Yes"
"4",4,14606101,"Main Stimuli F_YES (Latin Square) ",4,"Unprohibted_BetterAlternative_Equipment_Intended_","trolley","Unprohibited_Better_Alternative_Equipment_Intended_Trolley","No","No","no","yes","no","Yes","Human",838.700000000001,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibted_BetterAlternative_Equipment_Intended_Trolley","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
"5",5,14606101,"Main Stimuli F_YES (Latin Square) ",5,"InexpensiveRescue","crane","Inexpensive_Rescue_Crane","No","Yes","yes","yes","yes","Yes","Human",694.300000035764,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","InexpensiveRescueCrane","Inexpensive_Rescue","No","No","No","No","No","Yes"
"6",6,14606101,"Main Stimuli F_YES (Latin Square) ",6,"costless rescue","crane","Costless_Rescue_Crane","No","Yes","yes","yes","yes","Yes","AI",551.900000047681,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","costless rescueCrane","Costless_Rescue","No","No","No","No","No","Yes"
"7",7,14606101,"Main Stimuli F_YES (Latin Square) ",7,"ExpensiveCollapse","trolley","Expensive_Collapse_Trolley","No","Yes","yes","yes","yes","Yes","AI",1098.20000003577,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","ExpensiveCollapse","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"8",8,14606101,"Main Stimuli F_YES (Latin Square) ",8,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","crane","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Crane","No","No","no","no","no","Yes","Human",588.800000035764,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"9",9,14606101,"Main Stimuli F_YES (Latin Square) ",9,"SuicidalRescue","trolley","Suicidal_Rescue_Trolley","Yes","Yes","yes","yes","yes","Yes","AI",1218.00000004769,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","SuicidalRescue","Suicidal_Rescue","Yes","No","No","No","No","Yes"
"10",10,14606101,"Main Stimuli F_YES (Latin Square) ",10,"FootbridgePHA","crane","Footbridge_PHA_Crane","Yes","No","yes","yes","no","No","Human",4770.20000002384,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","FootbridgePHACrane","Footbridge_PHA","Yes","Yes","Yes","No","No","No"
