"","X","ID","TVideo_1","Task.Name","Trial.Number","dilemmaAll","Context","Dilemma","RT","MJ","keys","PBH_actual","PDE_actual","Agent","BA_actual","MC_actual","Intent_actual","MG_actual","Gender","Gender.quant","Age","Nationality","Country_of_residence","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_prefs","prefs_string","oldDilemma","Dilemma_base","PBH","PDE","Intent","BA","MC","MG"
"1",1,15127829,"InexpensiveRescue_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",1,"InexpensiveRescue","trolley","Inexpensive_Rescue_Trolley",1633.49999999999,"1","J_YES","No","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","InexpensiveRescue","Inexpensive_Rescue","No","No","No","No","No","Yes"
"2",2,15127829,"SuicidalRescue_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",2,"SuicidalRescue","truck","Suicidal_Rescue_Truck",1450.3,"0","J_YES","Yes","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","SuicidalRescueTruck","Suicidal_Rescue","Yes","No","No","No","No","Yes"
"3",3,15127829,"DropEquipment_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",3,"DropEquipment","truck","Drop_Equipment_Truck",1367.2,"1","J_YES","No","Yes","Human","No","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","DropEquipmentTruck","Drop_Equipment","No","No","No","No","No","Yes"
"4",4,15127829,"Omission_Bystander_PHO_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",4,"OmissionBystanderPHO","Crane","Omission_Bystander_PHO_Crane",1667.09999999999,"0","J_YES","No","No","Ai","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","OmissionBystanderPHOCrane","Omission_Bystander_PHO","Yes","Yes","Yes","Yes","Yes","No"
"5",5,15127829,"Bystander_PHO_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",5,"BystanderPHO","crane","Bystander_PHO_Crane",3166.20000000001,"0","J_YES","Yes","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BystanderPHOCrane","Bystander_PHO","Yes","No","No","No","No","Yes"
"6",6,15127829,"BetterAlternative_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",6,"better alternative","mine","Better_Alternative_Mine",1383.40000000001,"1","J_YES","Yes","Yes","Ai","No","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","better alternativeMine","Better_Alternative","Yes","Yes","No","Yes","No","No"
"7",7,15127829,"DropEquipment_Mine_Hang_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",7,"DropEquipment","mine","Drop_Equipment_Mine",966.599999999991,"1","J_YES","Yes","Yes","Ai","No","No","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","DropEquipmentMineHang","Drop_Equipment","No","No","No","No","No","Yes"
"8",8,15127829,"InexpensiveRescue_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",8,"InexpensiveRescue","truck","Inexpensive_Rescue_Truck",1286.20000000001,"1","J_YES","Yes","Yes","Human","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","InexpensiveRescueTruck","Inexpensive_Rescue","No","No","No","No","No","Yes"
"9",9,15127829,"CostlessRescue_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",9,"costless rescue","mine","Costless_Rescue_Mine",1449.90000000001,"1","J_YES","Yes","Yes","Ai","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","costless rescueMine","Costless_Rescue","No","No","No","No","No","Yes"
"10",10,15127829,"Omission_Footbridge_PHO_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",10,"OmissionFootbridgePHO","truck","Omission_Footbridge_PHO_Truck",1417,"0","J_YES","Yes","No","Human","No","No","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","OmissionFootbridgePHOTruck","Omission_Footbridge_PHO","Yes","Yes","Yes","No","No","No"
